city,cloudiness,country,date,humidity,latitude,longitude,max_Temp,wind_Speed
Atuona,3,PF,1570240210,71,-9.8,-139.03,26.97,6.85
Nelson Bay,75,AU,1570240213,88,-32.72,152.14,17.22,3.1
Ciudad Real,0,ES,1570240214,55,38.99,-3.93,16.11,1.26
Labuhan,44,ID,1570240214,39,-2.54,115.51,33.5,1.32
Hithadhoo,100,MV,1570240214,67,-0.6,73.08,27.87,3.77
Katangli,0,RU,1570240215,47,51.71,143.23,7.7,2.804
Chokurdakh,100,RU,1570240215,96,70.62,147.9,-1.21,7.92
Hay River,90,CA,1570240216,93,60.82,-115.79,8.0,3.6
Bubaque,100,GW,1570240216,78,11.28,-15.83,27.18,2.53
Coolum Beach,0,AU,1570240216,46,-26.53,153.09,27.78,0.89
Hami,100,CN,1570240217,25,42.84,93.51,16.11,4.44
Kolkwitz,75,DE,1570240217,87,50.72,11.42,10.56,9.8
Ayan,0,IR,1570240218,66,38.23,44.7,11.0,1.0
Newberry,1,US,1570240214,93,46.35,-85.51,6.0,1.81
Praia da Vitoria,75,PT,1570240218,94,38.73,-27.07,20.0,4.01
Lalmohan,91,BD,1570240219,69,22.34,90.74,29.5,1.84
Narsaq,100,GL,1570240219,24,60.91,-46.05,13.0,11.8
Vestmannaeyjar,100,IS,1570240222,87,63.44,-20.27,9.05,25.6
Athens,20,GR,1570240208,82,37.98,23.73,20.56,4.65
Pandrup,80,DK,1570240223,81,57.21,9.68,6.67,1.34
Eureka,1,US,1570239994,76,40.8,-124.16,16.0,3.6
Mangalia,90,RO,1570240223,93,43.8,28.58,10.0,5.1
Teguldet,100,RU,1570240223,78,57.31,88.17,6.12,4.6
Chistogorskiy,100,RU,1570240224,60,53.98,87.38,7.87,5.19
Sisimiut,83,GL,1570240225,57,66.94,-53.67,1.48,2.156
San Juan,0,AR,1570240228,49,-31.54,-68.53,3.77,0.63
Nabire,8,ID,1570240229,59,-3.36,135.5,31.42,2.087
Calvinia,0,ZA,1570240229,30,-31.47,19.78,11.31,1.25
Nusaybin,0,TR,1570240229,48,37.08,41.21,18.0,1.25
Mecca,0,SA,1570239927,77,21.43,39.83,25.08,1.08
Mandalgovi,81,MN,1570240230,29,45.76,106.27,5.93,5.37
Mar del Plata,21,AR,1570240230,44,-46.43,-67.52,9.53,3.23
Barrow,0,AR,1570240231,96,-38.31,-60.23,4.34,3.92
Kiruna,42,SE,1570240231,74,67.86,20.23,-1.0,2.6
Vardo,1,US,1570240231,62,39.62,-77.74,14.0,4.1
Jilib,0,SO,1570240232,94,0.49,42.79,23.5,1.59
Mitsamiouli,0,KM,1570240232,75,-11.38,43.28,25.99,2.52
Bowen,0,AU,1570240233,44,-20.01,148.25,27.78,7.2
Grindavik,90,IS,1570240233,87,63.84,-22.43,9.0,19.5
ChengDe,0,CN,1570240233,26,40.97,117.93,11.61,3.3
Asarganj,1,IN,1570240234,73,25.15,86.69,28.16,1.82
Cidreira,100,BR,1570240234,97,-30.17,-50.22,19.52,1.46
Minot,90,US,1570240235,81,48.23,-101.3,9.0,7.7
Santa Rosa,0,AR,1570240235,61,-36.62,-64.29,5.01,0.326
Nanortalik,100,GL,1570240236,52,60.14,-45.24,7.72,3.48
Shimanovsk,0,RU,1570240236,35,52.0,127.67,9.57,3.16
Samfya,0,ZM,1570240236,72,-11.37,29.56,18.11,2.719
Tomatlan,65,MX,1570240237,84,19.93,-105.25,27.09,2.03
Karratha,0,AU,1570240112,13,-20.74,116.85,33.55,1.7
Viransehir,0,TR,1570240237,44,37.24,39.76,18.13,1.19
Eravur,95,LK,1570240238,72,7.77,81.61,27.93,1.07
Kanniyakumari,100,IN,1570240238,78,8.08,77.57,27.22,5.739
The Pas,75,CA,1570240240,75,53.82,-101.24,7.0,4.6
Puerto Ayora,13,EC,1570240241,84,-0.74,-90.35,20.04,5.36
New Norfolk,20,AU,1570240241,40,-42.78,147.06,15.0,5.7
Tigil,77,RU,1570240241,56,57.8,158.67,5.21,6.21
Cairns,40,AU,1570240055,47,-16.92,145.77,27.0,9.8
Qinhuangdao,0,CN,1570240244,16,39.94,119.59,16.62,4.42
Guerrero Negro,0,MX,1570240245,76,27.97,-114.04,20.21,5.54
Tuktoyaktuk,75,CA,1570240246,93,69.44,-133.03,2.0,6.2
Molde,0,NO,1570240247,80,62.74,7.16,3.0,4.1
Paredon,75,BO,1570240247,71,-18.93,-65.16,13.0,6.2
Avarua,100,CK,1570240247,78,-21.21,-159.78,22.0,4.1
Clyde River,90,CA,1570240248,82,70.47,-68.59,0.0,2.1
Saldanha,0,PT,1570240248,88,41.42,-6.55,12.87,0.9
Ancud,90,CL,1570240248,87,-41.87,-73.83,6.0,2.1
Avera,75,US,1570240250,65,33.19,-82.53,30.0,2.1
Cherskiy,100,RU,1570240250,91,68.75,161.3,-3.37,6.1
Tessalit,4,ML,1570240251,13,20.2,1.01,26.98,4.43
Beboto,100,TD,1570240251,93,8.27,16.94,20.41,0.94
Mayumba,100,GA,1570240251,89,-3.44,10.65,24.42,5.15
Honningsvag,100,NO,1570240252,71,70.98,25.97,5.95,6.19
Kruisfontein,0,ZA,1570240252,88,-34.0,24.73,10.15,1.06
Longyearbyen,75,NO,1570240253,91,78.22,15.63,0.0,2.6
Ponta do Sol,0,BR,1570240253,53,-20.63,-46.0,20.28,3.04
Mercedes,98,UY,1570240253,96,-33.25,-58.03,14.44,6.71
Hobbs,90,US,1570240254,64,32.7,-103.14,24.44,2.6
Sao Filipe,32,CV,1570240254,81,14.9,-24.5,25.72,9.35
Provideniya,94,RU,1570240254,85,64.42,-173.23,-1.57,16.336
Lagoa,0,PT,1570240255,72,37.14,-8.45,19.0,4.6
Chilca,40,PE,1570240193,47,-13.22,-72.34,13.0,2.6
Jiangkou,100,CN,1570240255,77,30.7,117.56,20.26,7.74
Honiara,20,SB,1570240255,66,-9.43,159.96,31.0,3.6
Muisne,100,EC,1570240256,84,0.61,-80.02,23.79,6.29
Chapais,90,CA,1570240256,93,49.78,-74.86,3.0,2.6
Khatanga,100,RU,1570240256,73,71.98,102.47,-4.28,7.094
Bredasdorp,19,ZA,1570240257,87,-34.53,20.04,8.0,2.1
Pecos,1,US,1570240257,37,31.42,-103.49,28.0,3.6
Maumere,0,ID,1570240257,55,-8.63,122.22,27.93,3.03
Indi,69,IN,1570240258,69,17.17,75.96,25.71,2.56
Kaduqli,21,SD,1570240258,86,11.01,29.72,22.53,0.86
Saint George,40,GR,1570240031,87,39.45,22.34,13.0,0.78
Yar-Sale,37,RU,1570240260,79,66.83,70.83,0.65,4.86
Fortuna,1,US,1570240261,76,40.6,-124.16,16.67,3.6
Ilhabela,0,BR,1570240261,87,-23.78,-45.36,21.29,1.75
Truth or Consequences,1,US,1570240261,69,33.13,-107.25,23.0,3.6
Paamiut,68,GL,1570240262,64,61.99,-49.67,6.44,2.93
Isangel,100,VU,1570240262,61,-19.55,169.27,26.0,5.7
Opelika,1,US,1570240109,64,32.65,-85.38,33.0,1.27
Soyo,100,AO,1570240263,88,-6.13,12.37,24.27,7.05
Itaituba,92,BR,1570240263,93,-4.26,-55.99,23.36,0.55
Venado Tuerto,1,AR,1570240264,86,-33.75,-61.97,11.11,3.58
Broome,91,GB,1570240265,87,52.47,1.45,12.78,1.5
Mount Isa,49,AU,1570240265,15,-20.73,139.49,30.0,3.6
Port Elizabeth,1,US,1570240266,54,39.31,-74.98,13.89,5.7
Tottori,40,JP,1570240266,73,35.5,134.23,22.0,1.5
Speightstown,40,BB,1570240266,88,13.25,-59.65,26.0,2.6
Aklavik,75,CA,1570240267,83,68.22,-135.01,5.0,3.6
Bertoua,100,CM,1570240267,99,4.58,13.68,19.01,1.18
Vila Velha,75,BR,1570240271,69,-3.71,-38.6,27.0,5.1
Khawhai,100,IN,1570240271,79,23.52,93.19,24.53,0.11
Salinas,0,US,1570240271,37,36.67,-121.66,21.0,4.6
Kanth,0,IN,1570240272,67,29.06,78.63,24.15,2.51
Barcelos,27,BR,1570240272,93,-0.97,-62.93,22.67,1.25
Jamestown,100,AU,1570240272,11,-33.21,138.6,34.61,10.65
Airai,0,TL,1570240273,45,-8.93,125.41,28.94,3.18
Mount Darwin,91,ZW,1570240273,84,-16.77,31.58,17.22,0.96
Farafangana,92,MG,1570240273,95,-22.82,47.83,21.01,1.55
Kalmunai,100,LK,1570240274,72,7.42,81.82,27.74,0.91
Tasiilaq,100,GL,1570240274,80,65.61,-37.64,5.0,19.5
Rijeka,0,HR,1570240276,82,45.33,14.44,16.11,1.0
Saint-Philippe,1,CA,1570240276,86,45.36,-73.48,6.0,3.26
Banda Aceh,100,ID,1570240277,80,5.56,95.32,26.58,4.65
Salmo,90,CA,1570240277,92,49.19,-117.28,0.71,1.21
Alofi,75,NU,1570240278,69,-19.06,-169.92,26.0,8.2
San Jeronimo,68,PE,1570240278,93,-13.65,-73.37,9.34,1.73
Puerto Cabezas,100,NI,1570240278,86,14.04,-83.39,25.57,1.49
East London,77,ZA,1570240279,84,-33.02,27.91,14.86,1.51
Rome,0,IT,1570240279,77,41.89,12.48,17.0,2.6
Iqaluit,75,CA,1570240151,80,63.75,-68.52,1.0,5.1
Richards Bay,94,ZA,1570240280,90,-28.77,32.06,21.05,4.891
Aberdeen,90,US,1570240280,82,46.98,-123.82,14.0,2.1
Xuddur,57,SO,1570240280,85,4.12,43.89,23.25,3.1
Tura,100,RU,1570240139,81,64.27,100.22,3.18,7.2
Faanui,73,PF,1570240282,81,-16.48,-151.75,26.26,3.62
Lovozero,100,RU,1570240283,94,68.01,35.02,-1.2,7.26
Marawi,72,PH,1570240285,77,8.0,124.29,28.33,2.24
Yorkton,90,CA,1570240285,93,51.21,-102.46,6.0,2.1
Souillac,90,FR,1570240285,100,45.6,-0.6,14.44,2.6
Banjarmasin,61,ID,1570240285,66,-3.32,114.59,29.0,4.1
Bennington,90,US,1570240161,61,42.88,-73.2,8.0,3.6
Olot,20,ES,1570240286,93,42.18,2.49,19.44,1.5
Sampues,90,CO,1570240286,100,10.53,-74.18,26.0,2.6
Santa Leopoldina,90,BR,1570240287,100,-20.1,-40.53,25.56,1.0
Gazanjyk,0,TM,1570240287,31,39.24,55.52,14.08,4.82
Maroantsetra,89,MG,1570240290,98,-15.43,49.74,19.06,1.1
Nouadhibou,0,MR,1570240291,83,20.93,-17.03,21.0,8.2
Yellowknife,90,CA,1570240040,93,62.45,-114.38,6.0,6.2
Poplar Bluff,1,US,1570240291,56,36.76,-90.39,20.0,3.1
Tezu,36,IN,1570240292,64,27.93,96.16,26.93,1.25
Anadyr,20,RU,1570240292,80,64.73,177.51,-1.0,15.0
Gao,0,ML,1570240292,12,16.28,-0.04,31.94,3.424
Tommot,88,RU,1570240292,81,58.97,126.27,1.73,0.352
Pevek,100,RU,1570240293,85,69.7,170.27,-1.57,14.539
Valle de Allende,67,MX,1570240293,67,26.94,-105.39,19.19,3.41
Nikolskoye,90,RU,1570240293,80,59.7,30.79,2.0,4.0
Esperance,40,AU,1570240294,77,-33.86,121.89,17.0,12.9
Were Ilu,0,ET,1570240294,73,10.6,39.43,11.73,2.93
Kavieng,50,PG,1570240295,66,-2.57,150.8,29.3,2.7
Lebu,60,ET,1570240295,88,8.96,38.73,10.45,1.49
Belaya Kholunitsa,100,RU,1570240295,91,58.84,50.85,12.48,4.75
Belmonte,63,PT,1570240296,94,40.36,-7.35,13.89,0.72
Awjilah,0,LY,1570240296,79,29.14,21.3,20.11,5.0
Gotsu,0,JP,1570240296,64,35.01,132.22,23.0,2.1
Yablonovo,75,RU,1570240297,93,50.85,37.36,9.0,4.0
Maniitsoq,100,GL,1570240297,53,65.42,-52.9,7.13,5.77
Verkhnevilyuysk,100,RU,1570240298,83,63.45,120.31,-0.08,1.89
Kaitangata,44,NZ,1570240298,63,-46.28,169.85,8.89,4.92
Montepuez,0,MZ,1570240298,96,-13.13,39.0,18.63,1.399
Requena,0,ES,1570240300,72,39.49,-1.1,19.44,1.5
Dohar,40,BD,1570240300,83,23.61,90.13,29.0,1.5
Mahbubabad,87,IN,1570240302,78,17.62,80.02,26.79,1.15
Sayyan,0,YE,1570240302,40,15.17,44.32,14.61,0.565
Berlevag,100,NO,1570240303,69,70.86,29.09,5.68,3.53
Pangai,75,TO,1570240303,64,-19.8,-174.35,24.0,6.2
Patnagarh,8,IN,1570240303,78,20.71,83.13,26.46,0.72
Sur,0,OM,1570240304,64,22.57,59.53,27.89,5.56
Egvekinot,37,RU,1570240304,84,66.32,-179.17,-5.96,3.37
Garowe,23,SO,1570240304,71,8.41,48.48,23.9,2.71
Tres Passos,18,BR,1570240304,97,-27.46,-53.93,20.28,1.7
Byron Bay,85,AU,1570240305,60,-28.65,153.62,27.78,9.3
NEDJO,100,ET,1570240305,92,9.5,35.5,13.42,0.93
Erenhot,18,CN,1570240305,28,43.65,111.97,6.92,2.12
Magistralnyy,81,RU,1570240306,56,56.17,107.45,6.5,3.0
Alberton,0,ZA,1570240306,21,-26.25,28.13,17.0,1.15
Chum Phae,13,TH,1570240306,64,16.54,102.1,29.07,1.314
Wanaka,0,NZ,1570240307,54,-44.7,169.14,4.73,2.76
Thunder Bay,5,CA,1570240307,93,48.41,-89.26,4.44,1.0
Eyl,0,SO,1570240307,90,7.98,49.82,22.99,2.35
Muhos,0,FI,1570240308,74,64.81,26.0,1.0,5.1
Cascais,20,PT,1570240309,82,38.7,-9.42,17.78,1.5
Portland,1,US,1570240309,48,43.66,-70.25,7.22,7.7
Horasan,0,TR,1570240309,76,40.04,42.16,7.82,0.68
Guymon,1,US,1570240310,82,36.68,-101.48,22.0,6.2
Samana,0,EC,1570240314,94,0.12,-76.97,21.13,1.45
Thinadhoo,100,MV,1570240203,75,0.53,72.93,27.44,3.97
Thompson,90,CA,1570240315,75,55.74,-97.86,7.0,3.6
Lompoc,1,US,1570240278,32,34.64,-120.46,20.0,7.22
Wajima,40,JP,1570240315,64,37.4,136.9,21.0,0.5
Kieta,100,PG,1570240316,72,-6.22,155.63,28.23,2.81
Salalah,20,OM,1570240316,83,17.01,54.1,26.0,1.5
Ribeira Grande,98,PT,1570240316,76,38.52,-28.7,20.36,3.61
Codrington,40,AU,1570240316,50,-28.95,153.24,25.0,7.7
Baykit,92,RU,1570240317,73,61.68,96.39,2.2,5.484
Haines Junction,100,CA,1570240317,68,60.75,-137.51,-0.45,3.19
Ambovombe,0,MG,1570240319,76,-25.18,46.09,21.52,0.234
Pacific Grove,1,US,1570240319,45,36.62,-121.92,21.0,3.1
Baltay,83,RU,1570240319,50,52.47,46.63,11.1,8.49
Marzuq,1,YE,1570240320,35,14.4,46.47,21.09,1.11
Bandarbeyla,50,SO,1570240320,88,9.49,50.81,25.92,4.314
Wanning,75,AT,1570240320,87,48.64,13.53,11.11,5.7
Dingle,36,PH,1570240321,67,11.0,122.67,29.52,1.37
Puerto Madryn,0,AR,1570240090,41,-42.77,-65.04,10.05,1.29
Nampula,0,MZ,1570240321,94,-15.12,39.26,21.0,2.1
Khotynets,27,RU,1570240322,94,53.13,35.4,4.45,1.51
Kolyshley,96,RU,1570240322,60,52.7,44.54,15.56,9.16
Batagay,0,RU,1570240322,44,67.65,134.64,-3.86,2.76
Kamenka,99,MD,1570240323,75,48.03,28.7,7.29,1.36
Mirnyy,94,RU,1570240323,85,56.57,36.46,5.0,0.99
Bambous Virieux,75,MU,1570240323,88,-20.34,57.76,23.0,3.1
Durazno,85,UY,1570240324,98,-33.38,-56.52,12.97,3.04
Sao Joao da Barra,0,BR,1570240326,86,-21.64,-41.05,22.8,8.606
Torbay,90,CA,1570240203,74,47.66,-52.73,3.89,3.6
Katsuura,40,JP,1570240326,57,33.93,134.5,26.67,5.7
Cockburn Town,100,TC,1570240327,77,21.46,-71.14,27.77,5.79
Sartell,90,US,1570240327,75,45.62,-94.21,8.33,2.1
Vysokogornyy,0,RU,1570240327,39,50.1,139.13,8.18,0.7
Yuanping,15,CN,1570240327,61,38.72,112.71,8.29,2.37
Axim,72,GH,1570240328,94,4.87,-2.24,22.87,2.204
Matara,0,BI,1570240328,87,-3.48,29.48,10.6,2.34
Demir Kapija,20,MK,1570240328,87,41.41,22.24,11.11,0.519
Salisbury,90,GB,1570240329,100,51.07,-1.8,13.33,3.6
Tuatapere,30,NZ,1570240329,50,-46.13,167.69,10.56,6.26
Qaqortoq,100,GL,1570240329,24,60.72,-46.03,13.0,11.8
Hasaki,40,JP,1570240330,45,35.73,140.83,28.0,4.1
Kampot,40,KH,1570240307,78,10.62,104.18,29.0,2.1
Lasa,45,CY,1570240332,63,34.92,32.53,20.0,3.1
Beaupre,75,CA,1570240334,78,47.04,-70.9,6.67,3.1
Kango,86,GA,1570240334,99,0.19,10.1,21.83,0.65
Camacha,75,PT,1570240334,94,33.08,-16.33,23.0,4.6
Huancabamba,100,PE,1570240336,95,-5.24,-79.45,10.19,2.175
Haifa,0,IL,1570240336,88,32.82,35.0,21.11,0.45
Oster,6,UA,1570240337,100,50.95,30.88,6.11,1.0
Imbituba,75,BR,1570240337,94,-28.24,-48.67,21.0,4.1
Rio Gallegos,0,AR,1570240185,59,-51.62,-69.22,3.0,5.1
Cumanayagua,100,CU,1570240342,100,22.15,-80.2,24.0,1.0
Verkhoyansk,1,RU,1570240346,47,67.55,133.39,-4.72,2.88
Perelyub,22,RU,1570240348,37,51.87,50.37,10.91,7.2
Kirakira,4,SB,1570240345,81,-10.46,161.92,26.97,3.278
Darnah,0,LY,1570240348,68,32.77,22.64,23.94,8.15
Hovd,0,NO,1570240348,79,63.83,10.7,1.67,4.1
Llanes,100,ES,1570240349,97,43.42,-4.75,15.56,2.05
Sharanga,100,RU,1570240349,93,57.18,46.54,9.52,3.268
Sistranda,0,NO,1570240349,86,63.73,8.83,-1.0,4.1
Khandyga,0,RU,1570240350,57,62.65,135.58,-2.99,1.97
Zumikon,90,CH,1570240350,66,47.33,8.62,13.0,3.6
Tutoia,30,BR,1570240350,94,-2.76,-42.27,23.15,1.22
Atar,0,MR,1570240351,16,20.52,-13.05,31.04,3.53
Bahir Dar,36,ET,1570240352,90,11.59,37.39,12.71,1.52
Dasoguz,0,TM,1570240353,18,41.84,59.97,8.0,3.1
Grojdibodu,75,RO,1570240353,87,43.76,24.27,12.0,2.1
Badajoz,0,ES,1570240247,74,38.88,-6.97,15.56,0.45
Vikulovo,100,RU,1570240354,93,55.07,40.96,7.27,3.6
Dire,60,ET,1570240354,88,9.18,38.92,10.45,1.49
Marion,1,US,1570240354,48,37.73,-88.93,18.0,2.1
Corowa,100,AU,1570240355,56,-36.0,146.39,25.56,2.6
Cubuk,0,TR,1570240355,52,40.24,33.03,17.78,0.5
Seddon,0,AU,1570240355,59,-37.81,144.89,20.0,1.5
Boa Vista,0,BR,1570240356,66,2.82,-60.67,29.0,3.1
Raudeberg,0,NO,1570240356,75,61.99,5.14,6.0,3.1
Pacifica,1,US,1570240356,76,37.61,-122.49,20.0,5.7
Biloela,0,AU,1570240358,23,-24.4,150.51,29.56,1.52
Moose Factory,1,CA,1570240082,93,51.26,-80.61,2.0,1.0
Diego de Almagro,0,CL,1570240359,95,-26.39,-70.05,5.84,1.12
Hofn,100,IS,1570240359,99,64.25,-15.21,0.75,8.98
Sosva,62,RU,1570240359,93,59.17,61.86,10.6,4.18
Puerto Baquerizo Moreno,22,EC,1570240360,86,-0.9,-89.6,20.37,6.39
Coquimbo,0,CL,1570240360,81,-29.95,-71.34,11.0,3.1
Barabash,0,RU,1570240362,50,43.19,131.5,11.0,6.0
Cabo San Lucas,5,MX,1570240131,61,22.89,-109.91,28.0,3.1
Sittingbourne,84,GB,1570240364,93,51.34,0.73,13.89,2.6
Petukhovo,39,RU,1570240364,81,55.06,67.89,10.78,4.44
Adrar,0,DZ,1570240365,25,27.87,-0.29,22.0,6.7
Hirado,66,JP,1570240365,73,33.32,129.49,25.0,1.5
Takoradi,72,GH,1570240365,94,4.89,-1.75,22.87,2.2
Macapa,4,BR,1570240366,83,0.05,-51.07,28.0,5.7
Otane,100,NZ,1570240366,67,-39.89,176.62,15.56,6.71
Taksimo,18,RU,1570240366,62,56.36,114.84,2.68,2.16
Sabha,31,LY,1570240367,45,27.03,14.43,19.99,4.21
Kahului,20,US,1570240077,55,20.89,-156.47,31.0,11.8
San Cristobal,95,HN,1570240370,91,14.68,-86.92,20.35,1.49
Ubinskoye,100,RU,1570240373,82,55.31,79.68,11.02,6.11
Xai-Xai,27,MZ,1570240373,74,-25.04,33.64,20.02,2.01
Dawei,29,MM,1570240373,76,14.07,98.19,27.68,2.77
Lesnyye Polyany,20,RU,1570240374,93,55.97,37.87,7.22,2.0
Plettenberg Bay,0,ZA,1570240374,81,-34.05,23.37,11.91,1.83
Vaitape,73,PF,1570240374,81,-16.52,-151.75,26.26,3.62
Srednekolymsk,100,RU,1570240376,68,67.46,153.71,-1.99,7.48
Lukovetskiy,90,RU,1570240376,98,64.29,41.92,0.0,3.0
Indramayu,41,ID,1570240377,41,-4.05,103.78,27.37,2.79
Grand Gaube,75,MU,1570240377,88,-20.01,57.66,23.0,3.1
Nara,20,JP,1570240328,57,34.68,135.8,26.11,2.1
Muros,20,ES,1570240338,100,42.77,-9.06,14.44,1.25
Port Lincoln,90,AU,1570240378,56,-34.72,135.86,19.28,9.89
Grand-Santi,0,GF,1570240378,90,4.27,-54.38,22.43,0.69
Sidi Ali,0,DZ,1570240378,44,36.1,0.42,18.66,0.456
Progreso,90,UY,1570240379,100,-34.68,-56.22,13.0,2.6
Tagusao,79,PH,1570240379,66,9.19,117.81,28.96,3.18
Nuuk,100,GL,1570240379,52,64.17,-51.74,6.0,4.6
Seoul,90,KR,1570240282,77,37.57,126.98,21.0,1.0
San Quintin,23,PH,1570240380,68,17.54,120.52,28.66,2.07
Coos Bay,1,US,1570240382,82,43.37,-124.22,15.56,1.5
Flinders,75,AU,1570240323,77,-34.58,150.85,19.44,2.6
Saint-Augustin,5,CA,1570240386,84,45.63,-73.98,6.0,1.5
Saint-Leu,0,RE,1570240386,73,-21.15,55.28,23.0,2.6
Buchanan,40,LR,1570240308,94,5.88,-10.05,24.0,3.41
Lermontovka,0,RU,1570240387,47,47.15,134.34,9.5,3.06
Anchorage,90,US,1570240387,66,61.22,-149.89,12.0,9.8
Port Shepstone,65,ZA,1570240387,90,-30.74,30.45,16.47,1.3
Westport,1,US,1570240388,62,41.14,-73.36,13.33,7.002
High Rock,33,BS,1570240388,80,26.63,-78.28,26.89,4.69
Winterberg,90,DE,1570240389,93,51.19,8.53,10.0,3.6
Sosnogorsk,100,RU,1570240390,99,63.59,53.93,6.64,2.34
Gushikawa,20,JP,1570240358,62,26.35,127.87,29.0,6.2
Pangnirtung,57,CA,1570240337,75,66.15,-65.72,-2.14,5.867
Zhezkazgan,0,KZ,1570240393,41,47.8,67.71,4.0,3.0
Whitianga,71,NZ,1570240393,75,-36.83,175.7,17.78,3.13
Laguna,40,BZ,1570240357,83,16.17,-88.94,28.0,0.7
Ambilobe,7,MG,1570240395,80,-13.19,49.05,22.73,2.82
San Francisco,90,CO,1570240189,95,1.17,-76.88,9.36,1.93
Dunedin,61,NZ,1570240214,74,-45.87,170.5,9.44,7.15
Coihueco,0,CL,1570240396,85,-36.63,-71.83,4.23,3.66
Pochutla,24,MX,1570240396,97,15.74,-96.47,17.36,1.26
Benton Harbor,90,US,1570240396,87,42.12,-86.45,11.11,5.12
Keetmanshoop,0,NA,1570240397,14,-26.57,18.15,21.0,4.6
Mumbwa,27,ZM,1570240397,74,-14.99,27.06,18.19,2.602
